epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,319.375,0.61755,0.49872,1.0404,0.87333,0.72116,0.84684,0.5874,1.1255,0.90721,1.55008,0.000389188,0.000389188,0.000389188
149,321.385,0.61902,0.48953,1.02584,0.73701,0.83714,0.84342,0.56571,1.15385,0.95424,1.56382,0.000382115,0.000382115,0.000382115
150,323.456,0.61437,0.50326,1.03597,0.82385,0.75963,0.84118,0.57627,1.16121,0.84406,1.57827,0.000375041,0.000375041,0.000375041
151,325.56,0.59511,0.48346,1.03089,0.84386,0.72276,0.83139,0.57259,1.17042,0.82077,1.57992,0.000367967,0.000367967,0.000367967
152,327.666,0.58629,0.4664,1.02335,0.86306,0.74029,0.84159,0.58576,1.15366,0.83122,1.55619,0.000360894,0.000360894,0.000360894
153,329.674,0.59593,0.4735,1.03391,0.82857,0.74401,0.84985,0.59958,1.13117,0.86898,1.54399,0.00035382,0.00035382,0.00035382
154,331.682,0.60628,0.46256,1.02393,0.90045,0.68802,0.85196,0.61425,1.10712,0.89482,1.50484,0.000346747,0.000346747,0.000346747
155,333.812,0.57688,0.44889,1.0246,0.78709,0.77345,0.86434,0.61389,1.07812,0.86978,1.47734,0.000339673,0.000339673,0.000339673
156,335.862,0.56942,0.45476,1.01502,0.86973,0.75162,0.86611,0.59368,1.10173,0.85768,1.50014,0.0003326,0.0003326,0.0003326
157,337.898,0.5744,0.45682,1.03378,0.7634,0.83116,0.85886,0.59509,1.09894,0.86298,1.50437,0.000325526,0.000325526,0.000325526
158,339.982,0.56964,0.43987,1.0286,0.82877,0.74702,0.85267,0.61574,1.09807,0.8426,1.52411,0.000318453,0.000318453,0.000318453
159,341.952,0.59093,0.45866,1.00994,0.89942,0.73309,0.86348,0.60246,1.14101,0.82149,1.57073,0.000311379,0.000311379,0.000311379
160,343.962,0.57621,0.46734,1.00576,0.87379,0.72315,0.85788,0.61901,1.09348,0.81762,1.52582,0.000304306,0.000304306,0.000304306
161,345.957,0.5541,0.44765,1.00399,0.86101,0.75742,0.83344,0.59463,1.12539,0.84725,1.56158,0.000297232,0.000297232,0.000297232
162,347.925,0.55533,0.45264,1.00411,0.80279,0.76626,0.83252,0.58863,1.12973,0.86394,1.57948,0.000290158,0.000290158,0.000290158
163,349.9,0.56692,0.45138,1.01565,0.8693,0.73936,0.84543,0.59785,1.12437,0.80541,1.56118,0.000283085,0.000283085,0.000283085
164,351.866,0.59153,0.4817,1.03249,0.91738,0.7477,0.8587,0.59142,1.13384,0.80598,1.56668,0.000276011,0.000276011,0.000276011
165,353.934,0.55371,0.45485,1.00695,0.90403,0.76514,0.87169,0.61149,1.14071,0.78561,1.55329,0.000268938,0.000268938,0.000268938
166,356.116,0.60078,0.45912,1.02249,0.84768,0.8099,0.87749,0.63276,1.1183,0.77376,1.54325,0.000261864,0.000261864,0.000261864
