epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,332.915,0.82482,0.70187,1.16516,0.91565,0.75386,0.88271,0.57298,1.3058,1.17973,1.74955,0.0012862,0.0012862,0.0012862
125,334.776,0.83851,0.67998,1.18263,0.93099,0.74946,0.8831,0.55554,1.37434,1.23837,1.86094,0.00127623,0.00127623,0.00127623
126,336.641,0.80574,0.6651,1.153,0.94795,0.81944,0.9054,0.61909,1.22396,1.04864,1.66615,0.00126623,0.00126623,0.00126623
127,338.543,0.80591,0.66058,1.14731,0.81641,0.83333,0.88199,0.58839,1.31382,1.09662,1.79574,0.0012562,0.0012562,0.0012562
128,340.425,0.78244,0.63366,1.12275,0.9496,0.78515,0.90715,0.56071,1.40067,1.03597,1.88263,0.00124615,0.00124615,0.00124615
129,342.283,0.78354,0.61492,1.13931,0.86191,0.78025,0.89362,0.56352,1.35262,1.03312,1.83776,0.00123607,0.00123607,0.00123607
130,344.188,0.81974,0.70533,1.16458,0.77231,0.86111,0.89497,0.57583,1.36212,1.0963,1.81111,0.00122596,0.00122596,0.00122596
131,346.084,0.76632,0.63381,1.13048,0.93518,0.8015,0.88897,0.58755,1.29649,1.13348,1.74887,0.00121583,0.00121583,0.00121583
132,347.99,0.77489,0.62796,1.14802,0.91474,0.89407,0.93843,0.60719,1.28233,0.92049,1.77682,0.00120568,0.00120568,0.00120568
133,349.869,0.77938,0.61751,1.12017,0.96479,0.86111,0.92994,0.63286,1.23359,0.8972,1.70198,0.00119551,0.00119551,0.00119551
134,351.766,0.79756,0.63232,1.16093,0.95299,0.84476,0.9364,0.62346,1.20411,0.92978,1.62795,0.00118531,0.00118531,0.00118531
135,353.662,0.79838,0.66513,1.18495,0.87546,0.8787,0.91813,0.59243,1.30711,0.97355,1.72394,0.0011751,0.0011751,0.0011751
136,355.505,0.78512,0.65796,1.13192,0.92809,0.80556,0.90367,0.62375,1.19367,1.06224,1.62049,0.00116487,0.00116487,0.00116487
137,357.36,0.72285,0.59144,1.12989,0.96362,0.875,0.93676,0.59847,1.26534,0.956,1.80118,0.00115462,0.00115462,0.00115462
